date,datetime,open,high,low,close,volume,openinterest,normal_high_by_point,normal_low_by_point,trending_high_by_point,trending_low_by_point,close_average_percent,is_ma_trending,maybe_buy_signal,maybe_two_by_zero_signal,maybe_dl_break_signal,bar_count_at_signal,slow_ma_distr_percent,fast_ma_distr_percent,trsi,low_trsi,is_dtpl,gain,loss,avg_gain,avg_loss,rs,rsi
2024-01-15 11:00:00,2024-01-15 11:00:00,41732.35,43400.43,41718.05,42511.1,40269.89303,0,,,,,1.365996171708021,1.0,-1,-1,1,3.0,73.0,97.0,46.14501315765982,42.74174444823931,1.0,778.75,-0.0,431.85372495182355,504.0084525631008,0.8568382588737564,46.14501315765982
2024-01-16 11:00:00,2024-01-16 11:00:00,42511.1,43578.01,42050.0,43137.95,45045.74589,0,,,48969.48,41500.0,1.3691773302494732,1.0,-1,-1,-1,0.0,70.0,96.0,48.78386601755944,42.74174444823931,1.0,626.8499999999985,-0.0,445.78203031240747,468.0078488085936,0.9525097312945363,48.78386601755943
2024-01-17 11:00:00,2024-01-17 11:00:00,43137.94,43198.0,42200.69,42776.1,33266.21388,0,,,,,1.376144655997401,1.0,-1,-1,-1,0.0,74.0,53.5,47.34180481853944,46.14501315765982,1.0,0.0,361.84999999999854,413.94045671866405,460.4251453222654,0.8990396396116348,47.34180481853944
2024-01-18 11:00:00,2024-01-18 11:00:00,42776.09,42930.0,40683.28,41327.5,43907.51641,0,,,,,1.3784698300169809,1.0,-1,-1,-1,0.0,79.5,90.5,41.99046261295038,41.99046261295038,1.0,0.0,1448.5999999999985,384.37328123875943,531.009063513532,0.7238544643578653,41.99046261295037
2024-01-19 11:00:00,2024-01-19 11:00:00,41327.51,42196.86,40280.0,41659.03,48342.74559,0,,,,,1.394893287807347,0.0,-1,-1,-1,0.0,77.0,55.0,43.562788261678165,41.99046261295038,0.0,331.52999999999884,-0.0,380.5987611502765,493.0798446911369,0.7718805894178903,43.56278826167815
2024-01-20 11:00:00,2024-01-20 11:00:00,41659.03,41872.56,41456.3,41696.04,15923.99493,0,,,,,1.3900992304416768,0.0,-1,-1,-1,0.0,67.5,79.5,43.74609427524437,41.99046261295038,0.0,37.01000000000204,-0.0,356.0567067823998,457.8598557846271,0.7776543461584574,43.74609427524436
2024-01-21 11:00:00,2024-01-21 11:00:00,41696.05,41881.39,41500.98,41580.33,11730.16301,0,48969.48,,,,1.3842896204144923,0.0,1,-1,-1,5.0,68.0,91.0,43.27287394450502,43.27287394450502,0.0,0.0,115.70999999999913,330.6240848693712,433.42058037143937,0.7628250707108276,43.27287394450501
2024-01-22 11:00:00,2024-01-22 11:00:00,41580.32,41689.65,39431.58,39568.02,55426.19911,0,,,,,1.3814241611813782,0.0,-1,-1,-1,0.0,80.5,96.0,35.98285852850826,35.98285852850826,0.0,0.0,2012.310000000005,307.00807880727325,546.198396059194,0.5620816191009125,35.982858528508245
2024-01-23 11:00:00,2024-01-23 11:00:00,39568.02,40176.74,38555.0,39897.6,57956.63351,0,,,,,1.395633760215211,0.0,-1,-1,-1,0.0,79.5,89.0,37.83018200917551,35.98285852850826,0.0,329.58000000000175,-0.0,308.6203588924682,507.18422491210873,0.6084975512516183,37.83018200917551
2024-01-24 11:00:00,2024-01-24 11:00:00,39897.59,40555.0,39484.19,40084.88,39293.82861,0,,,,,1.392284462465283,0.0,-1,-1,-1,0.0,74.0,91.0,38.90897793645728,35.98285852850826,0.0,187.27999999999884,-0.0,299.9531904001489,470.9567802755295,0.6369017348569941,38.90897793645727
2024-01-25 11:00:00,2024-01-25 11:00:00,40084.89,40300.24,39550.0,39961.09,31022.11853,0,,,,,1.393641676872276,0.0,-1,-1,-1,0.0,77.0,92.0,38.43423686003877,37.83018200917551,0.0,0.0,123.79000000000087,278.527962514424,446.15915311299176,0.6242793867861892,38.43423686003877
